Date,PRECP,TMEAN,TMAX,DISCH,TMIN,SEDM
8/16/1991,0.528085106,0.576605839,0.591795898,0.485727265,0.580687044,0.494113577
8/19/1991,0.527740081,0.557919708,0.572336168,0.481727235,0.574033,0.493903394
8/20/1991,0.525451409,0.559014599,0.581890945,0.475818157,0.565323235,0.492943864
8/21/1991,0.527590569,0.573649635,0.604302151,0.474545416,0.562780633,0.49273107
8/22/1991,0.527935595,0.581240876,0.59869935,0.477181817,0.580091966,0.49255483
8/23/1991,0.527717079,0.574671533,0.589794897,0.479181817,0.579983771,0.492678851
8/24/1991,0.527832087,0.606131387,0.612406203,0.479909106,0.602163917,0.492684073
8/25/1991,0.527889592,0.599562044,0.596548274,0.478454559,0.609575331,0.493092689
8/26/1991,0.527855089,0.572481752,0.566683342,0.485000007,0.601731133,0.4934047
8/27/1991,0.528637148,0.558357664,0.55877939,0.478909091,0.58934271,0.493596606
8/31/1991,0.52839563,0.555328467,0.565832916,0.487454538,0.577224777,0.493830287
9/1/1991,0.527326049,0.54,0.563831916,0.48990907,0.556667568,0.493875979
9/5/1991,0.52693502,0.534489051,0.569734867,0.492636358,0.542115229,0.493975196
9/6/1991,0.526854514,0.556021898,0.589094547,0.486636361,0.553097106,0.493664491
9/7/1991,0.52572743,0.564270073,0.595397699,0.487363619,0.558506897,0.493301567
9/9/1991,0.525428407,0.588467153,0.612056028,0.477090866,0.57635921,0.49319047
9/10/1991,0.52506038,0.59270073,0.602701351,0.47754543,0.592750879,0.49319295
9/11/1991,0.524059804,0.599160584,0.604202101,0.489363586,0.600703273,0.493390601
9/12/1991,0.524117309,0.593467153,0.603351676,0.494636357,0.593183662,0.493834465
9/13/1991,0.524082806,0.583029197,0.589544772,0.503909063,0.592642683,0.493974151
9/14/1991,0.525750431,0.552737226,0.56058029,0.508454544,0.579064106,0.494654439
9/20/1991,0.527935595,0.548467153,0.564832416,0.503909095,0.568136327,0.494253786
9/26/1991,0.5293387,0.529379562,0.535767884,0.494454551,0.571274006,0.494476501
